Provider_ID,Name,Specialty,Rating,Schedule,Location,Languages,Experience (years),Hospital Affiliation,Age Group
1,Dr. Rodriguez,Cardiology,4.8,"9am-18pm, Tue",Chennai,"['Tamil', 'English']",2,Chennai General Hospital,Adult Specialist (18+ years)
2,Dr. Smith,Oncology,3.0,"9am-17pm, Tue",Mumbai,"['Marathi', 'Hindi', 'English']",26,Mumbai General Hospital,Adult Specialist (18+ years)
3,Dr. King,Endocrinology,4.5,"9am-18pm, Fri",Hyderabad,"['Telugu', 'Urdu', 'English']",17,Hyderabad General Hospital,Adult Specialist (18+ years)
4,Dr. Hernandez,Cardiology,3.5,"10am-17pm, Tue",Delhi,"['Hindi', 'Punjabi', 'English']",17,Delhi General Hospital,Adult Specialist (18+ years)
5,Dr. Young,Pediatrics,4.2,"10am-17pm, Fri",Chennai,"['Tamil', 'English']",7,Chennai General Hospital,Child Specialist (0-18 years)
6,Dr. Walker,Psychiatry,4.0,"8am-16pm, Mon",Mumbai,"['Marathi', 'Hindi', 'English']",2,Mumbai General Hospital,Adult Specialist (18+ years)
7,Dr. Garcia,Neurology,3.7,"8am-16pm, Thu",Kolkata,"['Bengali', 'Hindi', 'English']",4,Kolkata General Hospital,Adult Specialist (18+ years)
8,Dr. Davis,Dermatology,3.6,"10am-17pm, Mon",Ahmedabad,"['Gujarati', 'Hindi', 'English']",27,Ahmedabad General Hospital,Adult Specialist (18+ years)
9,Dr. Hall,Pediatrics,3.7,"10am-17pm, Fri",Jaipur,"['Rajasthani', 'Hindi', 'English']",10,Jaipur General Hospital,Child Specialist (0-18 years)
10,Dr. White,Endocrinology,3.5,"9am-16pm, Thu",Kolkata,"['Bengali', 'Hindi', 'English']",24,Kolkata General Hospital,Adult Specialist (18+ years)
11,Dr. Lee,Neurology,3.8,"8am-16pm, Wed",Kolkata,"['Bengali', 'Hindi', 'English']",21,Kolkata General Hospital,Adult Specialist (18+ years)
12,Dr. Phillips,Dermatology,5.0,"9am-17pm, Wed",Hyderabad,"['Telugu', 'Urdu', 'English']",3,Hyderabad General Hospital,Adult Specialist (18+ years)
13,Dr. Moore,Urology,4.7,"10am-16pm, Mon",Kolkata,"['Bengali', 'Hindi', 'English']",25,Kolkata General Hospital,Adult Specialist (18+ years)
14,Dr. Hernandez,Cardiology,3.2,"10am-16pm, Wed",Ahmedabad,"['Gujarati', 'Hindi', 'English']",7,Ahmedabad General Hospital,Adult Specialist (18+ years)
15,Dr. Lee,Dermatology,4.4,"8am-18pm, Mon",Delhi,"['Hindi', 'Punjabi', 'English']",20,Delhi General Hospital,Adult Specialist (18+ years)
16,Dr. Nelson,Gastroenterology,4.2,"9am-18pm, Fri",Ahmedabad,"['Gujarati', 'Hindi', 'English']",15,Ahmedabad General Hospital,Adult Specialist (18+ years)
17,Dr. Robinson,Urology,4.0,"9am-18pm, Mon",Pune,"['Marathi', 'Hindi', 'English']",14,Pune General Hospital,Adult Specialist (18+ years)
18,Dr. Roberts,Psychiatry,4.6,"10am-18pm, Tue",Bangalore,"['Kannada', 'Tamil', 'Telugu', 'English']",30,Bangalore General Hospital,Adult Specialist (18+ years)
19,Dr. Stewart,Neurology,3.9,"10am-18pm, Tue",Kolkata,"['Bengali', 'Hindi', 'English']",30,Kolkata General Hospital,Adult Specialist (18+ years)
20,Dr. Lee,Pediatrics,4.2,"8am-18pm, Tue",Hyderabad,"['Telugu', 'Urdu', 'English']",5,Hyderabad General Hospital,Child Specialist (0-18 years)
21,Dr. Parker,Dermatology,3.2,"8am-17pm, Wed",Chennai,"['Tamil', 'English']",4,Chennai General Hospital,Adult Specialist (18+ years)
22,Dr. Jackson,Urology,3.2,"10am-17pm, Wed",Pune,"['Marathi', 'Hindi', 'English']",26,Pune General Hospital,Adult Specialist (18+ years)
23,Dr. Evans,Psychiatry,4.9,"8am-18pm, Thu",Ahmedabad,"['Gujarati', 'Hindi', 'English']",10,Ahmedabad General Hospital,Adult Specialist (18+ years)
24,Dr. Taylor,Pediatrics,3.7,"8am-18pm, Wed",Jaipur,"['Rajasthani', 'Hindi', 'English']",4,Jaipur General Hospital,Child Specialist (0-18 years)
25,Dr. Sanchez,Pediatrics,3.1,"10am-16pm, Thu",Bangalore,"['Kannada', 'Tamil', 'Telugu', 'English']",12,Bangalore General Hospital,Child Specialist (0-18 years)
26,Dr. Wilson,Gastroenterology,3.5,"8am-18pm, Wed",Kolkata,"['Bengali', 'Hindi', 'English']",23,Kolkata General Hospital,Adult Specialist (18+ years)
27,Dr. Roberts,Neurology,3.8,"9am-16pm, Mon",Bangalore,"['Kannada', 'Tamil', 'Telugu', 'English']",29,Bangalore General Hospital,Adult Specialist (18+ years)
28,Dr. Davis,Endocrinology,4.3,"10am-17pm, Thu",Delhi,"['Hindi', 'Punjabi', 'English']",15,Delhi General Hospital,Adult Specialist (18+ years)
29,Dr. Lewis,Psychiatry,4.5,"9am-17pm, Thu",Mumbai,"['Marathi', 'Hindi', 'English']",4,Mumbai General Hospital,Adult Specialist (18+ years)
30,Dr. Davis,Endocrinology,3.8,"8am-18pm, Fri",Jaipur,"['Rajasthani', 'Hindi', 'English']",30,Jaipur General Hospital,Adult Specialist (18+ years)
31,Dr. Campbell,Pediatrics,3.3,"8am-16pm, Wed",Ahmedabad,"['Gujarati', 'Hindi', 'English']",5,Ahmedabad General Hospital,Child Specialist (0-18 years)
32,Dr. Lewis,Neurology,3.5,"10am-16pm, Fri",Surat,"['Gujarati', 'Hindi', 'English']",17,Surat General Hospital,Adult Specialist (18+ years)
33,Dr. Miller,Cardiology,4.6,"8am-17pm, Tue",Mumbai,"['Marathi', 'Hindi', 'English']",23,Mumbai General Hospital,Adult Specialist (18+ years)
34,Dr. Davis,Dermatology,3.7,"10am-17pm, Thu",Surat,"['Gujarati', 'Hindi', 'English']",4,Surat General Hospital,Adult Specialist (18+ years)
35,Dr. Parker,Urology,4.7,"9am-16pm, Tue",Jaipur,"['Rajasthani', 'Hindi', 'English']",21,Jaipur General Hospital,Adult Specialist (18+ years)
36,Dr. King,Cardiology,4.1,"9am-18pm, Thu",Mumbai,"['Marathi', 'Hindi', 'English']",6,Mumbai General Hospital,Adult Specialist (18+ years)
37,Dr. Harris,Urology,4.8,"9am-16pm, Tue",Pune,"['Marathi', 'Hindi', 'English']",16,Pune General Hospital,Adult Specialist (18+ years)
38,Dr. Clark,Neurology,3.2,"9am-16pm, Mon",Chennai,"['Tamil', 'English']",5,Chennai General Hospital,Adult Specialist (18+ years)
39,Dr. Campbell,Pediatrics,3.8,"9am-18pm, Tue",Chennai,"['Tamil', 'English']",1,Chennai General Hospital,Child Specialist (0-18 years)
40,Dr. Rodriguez,Neurology,4.3,"9am-18pm, Thu",Hyderabad,"['Telugu', 'Urdu', 'English']",29,Hyderabad General Hospital,Adult Specialist (18+ years)
41,Dr. Hall,Neurology,3.7,"8am-17pm, Tue",Pune,"['Marathi', 'Hindi', 'English']",11,Pune General Hospital,Adult Specialist (18+ years)
42,Dr. Roberts,Oncology,4.9,"8am-17pm, Wed",Delhi,"['Hindi', 'Punjabi', 'English']",8,Delhi General Hospital,Adult Specialist (18+ years)
43,Dr. King,Dermatology,4.5,"8am-16pm, Thu",Surat,"['Gujarati', 'Hindi', 'English']",14,Surat General Hospital,Adult Specialist (18+ years)
44,Dr. Sanchez,Neurology,3.1,"9am-17pm, Tue",Delhi,"['Hindi', 'Punjabi', 'English']",26,Delhi General Hospital,Adult Specialist (18+ years)
45,Dr. Anderson,Cardiology,3.4,"10am-16pm, Tue",Bangalore,"['Kannada', 'Tamil', 'Telugu', 'English']",26,Bangalore General Hospital,Adult Specialist (18+ years)
46,Dr. Carter,Cardiology,4.8,"8am-18pm, Wed",Pune,"['Marathi', 'Hindi', 'English']",6,Pune General Hospital,Adult Specialist (18+ years)
47,Dr. Thomas,Gastroenterology,4.4,"8am-17pm, Mon",Pune,"['Marathi', 'Hindi', 'English']",24,Pune General Hospital,Adult Specialist (18+ years)
48,Dr. Martinez,Psychiatry,3.4,"9am-17pm, Fri",Pune,"['Marathi', 'Hindi', 'English']",15,Pune General Hospital,Adult Specialist (18+ years)
49,Dr. Hill,Dermatology,3.5,"8am-17pm, Wed",Pune,"['Marathi', 'Hindi', 'English']",26,Pune General Hospital,Adult Specialist (18+ years)
50,Dr. Evans,Pediatrics,3.9,"9am-16pm, Fri",Pune,"['Marathi', 'Hindi', 'English']",6,Pune General Hospital,Child Specialist (0-18 years)
